scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark,condition,temperature,feels_like,wind_scale,precip,humidity,aqi
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:46:05,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:51:02,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:55:58,2026-06-25,4,羽毛球馆-16号,09:00-10:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,61,41
2026-06-25 01:01:17,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,21,3,0.0,96,31
2026-06-25 01:31:06,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,97,28
2026-06-25 02:01:10,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,98,28
2026-06-25 02:31:06,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,晴,22,23,3,0.0,96,28
2026-06-25 03:01:15,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,95,28
2026-06-25 03:31:04,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,95,36
2026-06-25 04:01:17,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,96,36
2026-06-25 04:31:07,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,96,42
2026-06-25 05:01:10,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,24,2,0.0,100,42
2026-06-25 05:31:05,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,22,2,0.0,100,39
2026-06-25 07:01:13,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,87,37
2026-06-25 07:31:04,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,73,49
2026-06-25 07:51:01,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,71,49
2026-06-25 07:53:46,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:56:49,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:59:48,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 08:01:17,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:02:49,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:11:59,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:46:05,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:51:02,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:55:58,2026-06-25,4,羽毛球馆-16号,10:00-11:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,61,41
2026-06-25 01:01:17,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,21,3,0.0,96,31
2026-06-25 01:31:06,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,97,28
2026-06-25 02:01:10,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,98,28
2026-06-25 02:31:06,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,晴,22,23,3,0.0,96,28
2026-06-25 03:01:15,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,95,28
2026-06-25 03:31:04,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,95,36
2026-06-25 04:01:17,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,96,36
2026-06-25 04:31:07,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,96,42
2026-06-25 05:01:10,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,24,2,0.0,100,42
2026-06-25 05:31:05,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,22,2,0.0,100,39
2026-06-25 07:01:13,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,87,37
2026-06-25 07:31:04,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,73,49
2026-06-25 07:51:01,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,71,49
2026-06-25 07:53:46,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:56:49,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:59:48,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 08:01:17,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:02:49,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:11:59,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:46:05,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:51:02,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:55:58,2026-06-25,4,羽毛球馆-16号,11:00-12:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,61,41
2026-06-25 01:01:17,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,21,21,3,0.0,96,31
2026-06-25 01:31:06,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,97,28
2026-06-25 02:01:10,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,98,28
2026-06-25 02:31:06,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,晴,22,23,3,0.0,96,28
2026-06-25 03:01:15,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,95,28
2026-06-25 03:31:04,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,95,36
2026-06-25 04:01:17,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,96,36
2026-06-25 04:31:07,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,96,42
2026-06-25 05:01:10,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,22,24,2,0.0,100,42
2026-06-25 05:31:05,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,21,22,2,0.0,100,39
2026-06-25 07:01:13,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,87,37
2026-06-25 07:31:04,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,73,49
2026-06-25 07:51:01,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,71,49
2026-06-25 07:53:46,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:56:49,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:59:48,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 08:01:17,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:02:49,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:11:59,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:46:05,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:51:02,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:55:58,2026-06-25,4,羽毛球馆-16号,12:00-12:55,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,61,41
2026-06-25 01:01:17,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,21,21,3,0.0,96,31
2026-06-25 01:31:06,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,97,28
2026-06-25 02:01:10,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,98,28
2026-06-25 02:31:06,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,晴,22,23,3,0.0,96,28
2026-06-25 03:01:15,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,95,28
2026-06-25 03:31:04,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,95,36
2026-06-25 04:01:17,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,96,36
2026-06-25 04:31:07,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,96,42
2026-06-25 05:01:10,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,22,24,2,0.0,100,42
2026-06-25 05:31:05,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,21,22,2,0.0,100,39
2026-06-25 07:01:13,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,87,37
2026-06-25 07:31:04,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,73,49
2026-06-25 07:51:01,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,71,49
2026-06-25 07:53:46,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:56:49,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:59:48,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 08:01:17,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:02:49,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:11:59,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:46:05,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:51:02,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:55:58,2026-06-25,4,羽毛球馆-16号,12:55-13:50,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,61,41
2026-06-25 01:01:17,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,21,3,0.0,96,31
2026-06-25 01:31:06,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,97,28
2026-06-25 02:01:10,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,98,28
2026-06-25 02:31:06,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,晴,22,23,3,0.0,96,28
2026-06-25 03:01:15,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,95,28
2026-06-25 03:31:04,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,95,36
2026-06-25 04:01:17,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,96,36
2026-06-25 04:31:07,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,96,42
2026-06-25 05:01:10,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,24,2,0.0,100,42
2026-06-25 05:31:05,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,22,2,0.0,100,39
2026-06-25 07:01:13,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,87,37
2026-06-25 07:31:04,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,73,49
2026-06-25 07:51:01,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,71,49
2026-06-25 07:53:46,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:56:49,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:59:48,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 08:01:17,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:02:49,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:11:59,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:46:05,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:51:02,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:55:58,2026-06-25,4,羽毛球馆-16号,14:00-15:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,61,41
2026-06-25 01:01:17,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,21,3,0.0,96,31
2026-06-25 01:31:06,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,97,28
2026-06-25 02:01:10,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,98,28
2026-06-25 02:31:06,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,晴,22,23,3,0.0,96,28
2026-06-25 03:01:15,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,3,0.0,95,28
2026-06-25 03:31:04,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,95,36
2026-06-25 04:01:17,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,阴,22,23,3,0.0,96,36
2026-06-25 04:31:07,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,96,42
2026-06-25 05:01:10,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,24,2,0.0,100,42
2026-06-25 05:31:05,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,21,22,2,0.0,100,39
2026-06-25 07:01:13,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,雾,22,23,2,0.0,87,37
2026-06-25 07:31:04,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,73,49
2026-06-25 07:51:01,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,71,49
2026-06-25 07:53:46,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:56:49,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 07:59:48,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,68,49
2026-06-25 08:01:17,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:02:49,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,66,49
2026-06-25 08:11:59,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:17:49,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,3,0.0,62,49
2026-06-25 08:21:00,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,49
2026-06-25 08:26:04,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,23,23,2,0.0,63,41
2026-06-25 08:30:59,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:35:53,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
2026-06-25 08:41:04,2026-06-25,4,羽毛球馆-16号,15:00-16:00,0,1,不开放/已过期,毕业典礼筹备,多云,26,25,3,0.0,62,41
